id,label,frame,time
0,car,1,0.05
1,car,1,0.05
2,car,1,0.05
0,car,2,0.1
1,car,2,0.1
2,car,2,0.1
0,car,3,0.15
1,car,3,0.15
2,car,3,0.15
0,car,4,0.2
1,car,4,0.2
2,car,4,0.2
0,car,5,0.25
1,car,5,0.25
2,car,5,0.25
0,car,6,0.3
1,car,6,0.3
2,car,6,0.3
0,car,7,0.35
2,car,7,0.35
1,car,7,0.35
0,car,8,0.4
2,car,8,0.4
1,car,8,0.4
0,car,9,0.45
2,car,9,0.45
1,car,9,0.45
0,car,10,0.5
2,car,10,0.5
1,car,10,0.5
0,car,11,0.55
2,car,11,0.55
1,car,11,0.55
0,car,12,0.6
1,car,12,0.6
2,car,12,0.6
0,car,13,0.65
2,car,13,0.65
1,car,13,0.65
0,car,14,0.7
1,car,14,0.7
2,car,14,0.7
0,car,15,0.75
2,car,15,0.75
1,car,15,0.75
0,car,16,0.8
1,car,16,0.8
2,car,16,0.8
0,car,17,0.85
1,car,17,0.85
2,car,17,0.85
0,car,18,0.9
1,car,18,0.9
2,car,18,0.9
0,car,19,0.95
2,car,19,0.95
1,car,19,0.95
0,car,20,1.0
2,car,20,1.0
1,car,20,1.0
0,car,21,1.05
2,car,21,1.05
1,car,21,1.05
0,car,22,1.1
1,car,22,1.1
2,car,22,1.1
0,car,23,1.15
2,car,23,1.15
1,car,23,1.15
0,car,24,1.2
2,car,24,1.2
1,car,24,1.2
